# constituency_access_raw.csv
# REAL DATA -- household electricity access % by constituency, all 47
# counties, 2019 Kenya Population and Housing Census figures as compiled
# and published by Stats Kenya:
# https://statskenya.co.ke/at-stats-kenya/about/kenya-access-to-electricity-by-constituency-stats-kenya/82/
county,constituency,access_pct
Nyamira,North Mugirango,35.8
Nyamira,West Mugirango,49.2
Nyamira,Kitutu Masaba,42.5
Nyamira,Borabu,44
Nairobi,Kasarani,96.7
Nairobi,Roysambu,97.4
Nairobi,Ruaraka,96
Nairobi,Embakasi North,97.5
Nairobi,Embakasi Central,98.3
Nairobi,Embakasi West,99.1
Nairobi,Mathare,95.6
Nairobi,Kamukunji,96
Nairobi,Makadara,95.8
Nairobi,Embakasi East,97.6
Nairobi,Embakasi South,95.9
Nairobi,Westlands,96.7
Nairobi,Dagoretti North,96.7
Nairobi,Dagoretti South,98
Nairobi,Starehe,97
Nairobi,Kibra,94.1
Nairobi,Langata,93.8
